,dates,titles,tag,descriptions
2463,"April 20, 2015",ICE tracks non-immigrant students in the US,|Student and Exchange Visitor Program,"The United States attracts and welcomes foreign citizens to our nation's higher educational institutions. In fact, according to a recent Student and Exchange Visitor Program (SEVP) report, there were more than 1.1 million nonimmigrant students studying in the United States as of February 2015; the majority of whom were from China, India and South Korea."
2464,"April 16, 2015","ICE, CBP hosts intellectual property rights training in Kuwait",|Intellectual Property Rights and Commercial Fraud,"In a collaborative effort between U.S. Immigration and Customs Enforcement’s (ICE) Homeland Security Investigations (HSI) and U.S. Customs and Border Protection (CBP), the two agencies hosted Intellectual Property Rights (IPR) enforcement training in Kuwait the week of March 22. It was the first training of its kind held in Kuwait in 10 years.
"
2465,"April 15, 2015",ICE removes Dominican-born Spanish citizen wanted for drug trafficking,|Enforcement and Removal,"Fiordaliza Gomez Heredia, 40, was turned over to Spanish law enforcement upon her arrival at Madrid-Barajas airport in Madrid, Spain. According to Spanish police authorities, a drug trafficking investigation that began in 2006 led to the execution of a search warrant May 5, 2007, at Heredia’s home. "
2466,"April 15, 2015",United Arab Emirates to succeed ICE as next chair of Virtual Global Taskforce,|Child Exploitation,"Other members of the VGT represented on the board of management include: Australian Federal Police, National Crime Agency’s Child Exploitation and Online Protection Command (United Kingdom), Columbian National Police, Dutch National Police, Europol, Indonesian National Police, Interpol, Italian Postal and Communication Police Service, Korean National Police Agency, Royal Canadian Mounted Police, New Zealand Police and the Cybercrime Coordination Unit Switzerland."
2467,"April 10, 2015","ICE, Guatemalan authorities arrest head of fraudulent document ring, seize 400 altered passports",|Document and Benefit Fraud,"Gilder Gustavo Garcia Cuyuch was arrested following the execution of four search warrants in three residences and one travel agency. According to Guatemalan law enforcement, Cuyuch allegedly operated his document fraud business out of a travel agency in Quetzaltenango, Guatemala. "
2468,"April 10, 2015",Halifax man arrested in movie leaks investigation,|Intellectual Property Rights and Commercial Fraud,The City of London’s Police Intellectual Property Crime Unit (PIPCU) unit arrested the 26-year-old at his workplace in Leeds yesterday morning before taking him to a local police station for questioning.
2469,"April 9, 2015",ICE hosts Cross Border Financial Investigations Training,|Operational,"In a joint effort with the Internal Revenue Service (IRS), U.S. Immigration and Customs Enforcement’s (ICE) Homeland Security Investigations (HSI) recently hosted a 10-day Cross Border Financial Investigations Training (CBFIT) in Dar es Salaam, Tanzania."
2470,"April 8, 2015","ICE removes El Salvadoran man implicated in murder, several robberies",|Enforcement and Removal,"Enmanuel Tejada Santos, of El Salvador, was allegedly involved in the June 15, 2000, murder of two individuals. According to El Salvadoran authorities, Santos and a group of men allegedly assaulted a vehicle transporting goods that had arrived from the United States. "
2471,"April 8, 2015",ICE arrests 976 gang members and associates during ‘Project Wildfire’ surge,|Transnational Gangs,"Project Wildfire was a surge operation led by the HSI National Gang Unit and ran Feb. 23 to March 31. HSI special agents worked with 215 state, local and federal law enforcement partners, including ICE’s Enforcement and Removal Operations (ERO), to apprehend individuals from various gangs."
2472,"April 2, 2015",Former Ohio man featured on Operation Predator App pleads guilty to child exploitation,|Child Exploitation,"Jeremiah Malfroid, 33, was charged by criminal complaint for production of child pornography in October 2014, and absconded during the investigation."
2473,"April 1, 2015",Man sentenced to over 14 years for operating Arizona-based human smuggling ring,|Human Smuggling/Trafficking,"Otoniel Galindo Vasquez-Lopez, 29, of Louisiana, previously pleaded guilty to conspiracy to transport and harbor illegal aliens and conspiracy to commit money laundering."
2474,"March 30, 2015",Indiana man indicted for transporting minor to engage in prostitution,|Child Exploitation,"Ronnie Cosby, 39, of Hammond, Indiana, is charged with one count of transporting a minor to engage in prostitution. Cosby appeared in court March 30 for his arraignment. Court records allege Cosby committed the crime in February, transporting the child from Indiana to Illinois."
2475,"March 26, 2015",Multi-million dollar rewards offered for information leading to capture of 2 Russian cybercrime fugitives ,|Financial Crimes,"""We applaud the State Department's decision to feature these fugitives in the Transnational Organized Crime Rewards Program,"" said U.S. Immigration and Customs Enforcement (ICE) Director Sarah R. Saldaña. ""Members of this group likely thought they could escape detection and elude justice by hiding in cyberspace. We want to prove them wrong."""
2476,"March 25, 2015",ICE removes 2 men wanted for homicide to Mexico,|Enforcement and Removal,"According to an Interpol warrant, Barbarito De Leon-Compean, 50, is wanted by Mexican officials for homicide. De Leon-Compean was convicted Oct. 16, 1995, in Tulsa County, Oklahoma, for conspiracy to traffic illegal drugs. De Leon-Compean, who entered the United States illegally at an unknown place and at an unknown time, was ordered removed by an immigration judge Aug. 26, 1997.
"
2477,"March 25, 2015",ICE’s Enforcement and Removal Operations arrests 200th criminal alien convicted of sex crime under Sex Offender Registration Initiative,|Enforcement and Removal,"One of U.S. Immigration and Customs Enforcement’s (ICE) priorities is arresting child predators and bringing them to a court of law where they face justice, or in some cases, sending them back to their home countries.
But first, convicted child sexual predators, some of whom are in the country illegally, must be located. The Fugitive Operations Support Center (FOSC) and Fugitive Operations Teams (FOT) of ICE’s Enforcement and Removal Operations (ERO) tracks and targets criminal aliens convicted of sexual crimes against children."
2478,"March 25, 2015","SEVP releases 2015 international student data, launches interactive mapping tool",|Student and Exchange Visitor Program,"Based on data extracted from SEVIS Feb. 6, 1.13 million international students, using an F (academic) or M (vocational) visa, were enrolled at nearly 8,979 U.S. schools. This marked a 14.18 percent increase in international students when compared to January 2014 data. The number of certified schools remained relatively static, increasing just more than one percent, during the same time period.  "
2479,"March 24, 2015",ICE formalizes partnership with City of London Police to focus on intellectual property crime,|Intellectual Property Rights and Commercial Fraud,"Over the past decade, the two agencies have worked together on several major multimillion dollar fraud investigations, leading to a number of high profile convictions. The launch of the City of London Police Intellectual Property Crime Unit in September 2013 brought a new dimension to this partnership, with a shared focus on tackling intellectual property crime."
2480,"March 23, 2015",Puerto Rico community leaders graduate from second nationwide HSI-sponsored citizens academy,|Operational,The graduation took place at the AAA Shooting Club in Toa Baja where HSI San Juan's special agent in charge presented a certificate of completion to the 13 graduates in a special ceremony.
2481,"March 19, 2015",Director Saldaña testifies on enforcement and removal policies and procedures,|Enforcement and Removal,"U.S. Immigration and Customs Enforcement’s (ICE) Director, Sarah R. Saldaña, testified March 19 before the House Committee on Oversight and Government Reform at a hearing entitled, “A Review of the Department of Homeland Security’s Policies and Procedures for the Apprehension, Detention, and Release of Non-Citizens Unlawfully Present in the United States – Part II."
2482,"March 18, 2015","Dominican, US authorities rescue 29 sex trafficking victims including 20 minors",|Human Smuggling/Trafficking,"Those arrested include: Rubén Darío Sosa, Luis Manuel Martínez Castillo, Franklin Sánchez García, Rolfi Ismael Ventura, Manuel Emilio Martínez, Idalia Luciano Ferrera and Aniberca Castro Peña."
2483,"March 16, 2015",Ancient antiquities and Saddam Hussein-era objects returned to Iraq,"|Cultural Property, Art and Antiquities Investigations","More than 60 Iraqi cultural treasures illegally smuggled into the United States were returned to the Republic of Iraq Monday, following five separate investigations led by U.S. Immigration and Customs Enforcement (ICE) Homeland Security Investigations (HSI). The objects were seized at the culmination of investigations led by HSI offices in New York; Baltimore, Maryland; Austin, Texas; and New Haven, Connecticut. U.S. Customs and Border Protection (CBP) and the Southern District of New York U.S. Attorney’s Office assisted in two of the investigations."
2484,"March 13, 2015","Colombian drug trafficking organization dismantled, 13 arrested",|Contraband,"In addition to the 13 arrests, 10 kilograms of cocaine were seized. It is alleged that this DTO annually distributed about two to three tons of cocaine. To date, 16 individuals have been arrested and 688 kilograms (1,517 pounds) of cocaine have been seized."
2485,"March 13, 2015",ICE arrests PRPD police officer for production of child pornography,|Child Exploitation,"HSI special agents arrested Gabriel Rodriguez-Pacheco, 30, of Yauco, for allegedly persuading, enticing and coercing two female minors, 16 and 17 years of age, to engage in sexually explicit conduct, namely the lascivious exhibition of their genital areas, for the purpose of producing a visual depiction of such conduct. 

"
2486,"March 11, 2015","ICE, Korean Customs seize khat destined for US valued at $3 million",|Contraband,"The khat, which was destined for the United States, was shipped from Kenya as henna. It is the largest seizure of khat in South Korea’s history. It is also their first prosecution for dried khat. Dried khat is an illegal substance in the United States as it contains cathinone, a controlled substance.
"
2487,"March 10, 2015",FinCEN names Banca Privada d’Andorra a foreign financial institution of primary money laundering concern,|Financial Crimes,"The U.S. Department of the Treasury's Financial Crimes Enforcement Network (FinCEN) today named Banca Privada d'Andorra (BPA) as a foreign financial institution of primary money laundering concern pursuant to Section 311 of the USA PATRIOT Act (Section 311) and issued a related Notice of Proposed Rulemaking (NPRM). This finding and NPRM are based on information indicating that, for several years, high-level managers at BPA have knowingly facilitated transactions on behalf of third-party money launderers acting on behalf of transnational criminal organizations."
2488,"March 10, 2015","HSI, Colombian tax and customs agency renew agreement to combat trade-based money laundering",|Financial Crimes,"Since 2005, HSI and the DIAN have worked closely in conducting trade-based money laundering and customs fraud investigations. HSI is the only U.S. law enforcement agency to exchange trade data with Colombia to investigate these types of crimes.
"
2489,"March 9, 2015",Brazilian authorities receive specialized training to combat child pornography,|Child Exploitation,"The officers received training on the Child Protection System, a software program used by law enforcement around the globe to assist with the identification of individuals trading child pornography online."
2490,"March 1, 2015","ICE St. Thomas reaches out to more than 1,000 students in the U.S. Virgin Islands",|Child Exploitation,"As part of Project iGuardian, HSI special agents in St. Thomas organized the largest Internet safety outreach in the U.S. Virgin Islands (USVI) for 8- to 16-year-old kids to provide them with the necessary tools to make smart decisions when navigating the Internet. The event was part of the 2015 USVI Youth Summit sponsored by the USVI Police Department and the local Department of Education.
"
2491,"March 1, 2015","BEST, an interagency collaboration model that’s keeping the United States safer",|Contraband,"BEST units in the United States gather officers from more than 100 different law enforcement agencies under one roof, ith the objective of identifying, investigating, disrupting and dismantling transnational organizations posing the greatest threat to border security, public safety and national security, by employing the full range of federal, state, local, tribal and international law enforcement resources."
2492,"February 26, 2015",HSI Rome supports preparation for US-Italian bilateral agreement renewal,"|Cultural Property, Art and Antiquities Investigations","Foster, along with HSI and Embassy Rome officials, visited several archeological sites in the Lazio Region. In a visit to Ceveteri, an ancient Etruscan archeological site that has been subjected to recent looting, the U.S. team observed a community effort to work with archaeologists to better excavate tombs before looters could remove the contents."
2493,"February 26, 2015","ICE, Department of State host anti-money laundering international symposium in Mexico City",|Financial Crimes,"Special agents, investigators and attorneys gathered in Mexico City for a three-day law enforcement symposium to collaborate and share information on current money laundering trends. U.S. Immigration and Customs Enforcement’s (ICE) Homeland Security Investigations (HSI) Attaché Office in Mexico City and the Department of State’s (DOS) Bureau of International Narcotics and Law Enforcement Affairs (INL) hosted the symposium that ended Thursday.  "
2494,"February 25, 2015","ICE, Argentine customs agency sign agreement establishing trade transparency unit",|Financial Crimes,Ambassador Mamet signed a proclamation memorializing the partnership between U.S. Immigration and Customs Enforcement’s (ICE) Homeland Security Investigations (HSI) Southern Cone of the Americas Attaché Office and the AFIP. The establishment of the TTU will enhance the detection of trade-based money laundering and commercial fraud violations.
2495,"February 25, 2015","ICE, Department of Justice, Mexico collaboration leads to indictment of 42 involved in human trafficking organization",|Human Smuggling/Trafficking,"The indictments result from the close collaboration between U.S. Immigration and Customs Enforcement (ICE) Homeland Security Investigations (HSI) Mexico City Attaché Office, the U.S. Department of Justice (DOJ) and the Mexican Office of the Attorney General of the Republic (PGR).

"
2496,"February 24, 2015",International effort leads to rescue of 22-month-old Romanian baby being molested,|Child Exploitation,"“This case illustrates HSI’s unyielding commitment in working with our world-wide law enforcement partners to protect our children,” said Peter T. Edge, HSI executive associate director. “When it comes to protecting the most vulnerable among us, we will leave no stone unturned.”
"
2497,"February 10, 2015",32 defendants face federal or state charges in Illinois alleging laundering more than $100 million in drug proceeds through cash-for-gold scheme,|Transnational Gangs,Thirty-one defendants were charged with conspiring to launder narcotics proceeds for the Sinaloa Cartel in a 311-page criminal complaint filed Monday in U.S. District Court and unsealed Tuesday. The federal defendants arrested Feb. 10 in the Chicago area appeared Tuesday before Magistrate Judge Daniel Martin in U.S. District Court; eight remain in federal custody pending detention hearings scheduled for later this week.
2498,"February 5, 2015","ICE, NCMEC lead helps Spanish authorities take down child pornography ring",|Child Exploitation,"Based on HSI and NCMEC information, the Spanish Guardia Civil conducted a two-day law enforcement operation dubbed ""Dustman"" on Jan. 31 and Feb. 1. They executed 47 simultaneous search warrants in 24 Spanish cities, arresting 26 suspected child predators."
2499,"January 29, 2015",Using a financial attack strategy to combat human trafficking ,|Human Smuggling/Trafficking,"“On its face, human trafficking is about as heinous and repugnant as a crime can be,” said Jorge Lopez, HSI section chief in the Illicit Finance and Proceeds of Crime Unit. “The banking and financial industry can be a powerful force in assisting HSI as we combat the horrible crime of human trafficking. We look towards financial institutions to be among our greatest allies in identifying interstate funnel accounts, as well as other money laundering methods used by human traffickers and smugglers.”"
2500,"January 22, 2015",Puerto Rico community leaders to form second nationwide ICE-sponsored Citizens Academy,|Operational,The HSI San Juan Citizens Academy was developed by HSI San Juan special agents to provide members of the general public with an inside look at HSI and how the agency enforces immigration and customs laws.
2501,"January 22, 2015",ICE acknowledged in Italy for outstanding investigative work,"|Cultural Property, Art and Antiquities Investigations","Over 5,000 looted artifacts valued at more than $50 million Euros were illicitly traded by Gianfranco Becchina, an Italian national and one of Italy’s most prolific traffickers of illicit cultural property. HSI became involved in one of the Becchina investigations after receiving a lead from Carabinieri TPC regarding looted objects being offered for sale by a New York auction house."
2502,"January 22, 2015","ICE, Department of State host first ever state-level anti-human trafficking seminar for Mexican law enforcement",|Human Smuggling/Trafficking,"Approximately 55 representatives from the State of Mexico and the Mexican Federal Police participated in the seminar, the first ever state-level training of its kind. The Instituto Mexiquense de Seguridad y Justicia and the Comisión de Seguridad Estatal del Gobierno del Estado de México assisted with hosting the seminar."
2503,"January 20, 2015",US Ambassador to Brazil recognizes HSI special agent for work during vice president’s visit,|Operational,"On Friday, HSI special agent Alvin Medina was recognized by U.S. Ambassador to Brazil Liliana Ayalde for his outstanding support during the vice president’s Brazil visit during the 2014 World Cup.
"
2504,"January 15, 2015",ICE provides Colombian authorities specialized dive training,|Operational,"Special agents with the HSI Miami dive team provided the training, the first of its kind in Colombia. The training focused on techniques to help law enforcement identify contraband concealed in the hulls of cargo ships and in parasitic devices. The students were also taught evidence and cadaver recovery.
"
2505,"January 12, 2015","ICE, Canadian law enforcement arrest child predator",|Child Exploitation,"Peter Eric Kirkeby, 26, of Barrie, Canada, is also charged with using telecommunication devices to commit the offense of sexual assault and creating child pornography, as well as soliciting a person to have illicit sexual intercourse."
2506,"January 8, 2015",2 arrested for attempting to smuggle unaccompanied minors out of El Salvador,|Human Smuggling/Trafficking,"Rene Jonathan Hernandez Gomez, 23, and Rubia Benavide, 65, both of El Salvador, are charged with attempting to smuggle unaccompanied minors for profit.
"
2507,"January 4, 2015","Operation Team Player nets more than $25,000 worth of fake goods",|Intellectual Property Rights and Commercial Fraud,"The operation, dubbed Operation Team Player, resulted in seizures of jerseys, hats, t-shirts and posters.  The seizures were part of a crackdown on IPR violators leading up to the NHL Winter Classic. Operation Team Player is an effort by the HSI-led IPR Center that targets counterfeit sports merchandise from all of the major sports leagues.
"
2508,"December 29, 2014","HSI, CBP, Honduran authorities intercept cocaine concealed in thousands of pieces of wood ",|Narcotics,"Law enforcement intercepted thousands of pieces of wood, concealing approximately 423 kilograms of cocaine, in Honduras Dec. 22. "
2509,"December 16, 2014",Salvadoran posing as human smuggler arrested for fraud,|Operational,"Jose David Amaya Bonilla allegedly charged smuggling fees, equivalent to up to $9,000 in U.S. currency, to purportedly illegally smuggle individuals into the United States. He allegedly received payments from at least five Salvadoran nationals."
2510,"December 14, 2014","ICE, Colombian authorities arrest predator suspected of victimizing 50 children",|Child Exploitation,Palencia-Murillo allegedly used social media to recruit and coerce his victims into sending him pornographic images. His victims were all males between the ages of 10 and 16.
2511,"December 14, 2014",Former Ohio man profiled on ICE's Operation Predator app in custody after surrendering to authorities,|Child Exploitation,"Jeremiah Malfroid, 33, surrendered Saturday to the Butte County Jail in Oroville, California, where he is being held on federal child pornography charges."
2512,"December 14, 2014","DHS, Indonesian National Police sign information-sharing agreement",|Operational,Assistant Secretary Bersin signed the document on behalf of U.S. Immigration and Customs Enforcement (ICE) signifying the U.S. government’s commitment to enhancing and strengthening the bi-lateral fight against transnational crime.
2513,"December 9, 2014",HSI Seoul Attaché receives presidential award,"|Cultural Property, Art and Antiquities Investigations","On Monday, at a formal ceremony at Gyeongbok Palace, HSI Seoul Attaché Taekuk Cho was presented with the Korean President’s Award for his efforts related to the repatriation of the nine national treasures. This award is the highest honor bestowed upon an individual and the highest award given by the Korean government. Cho is only the fifth non-Korean national to receive this prestigious award in Korean history.
"
2514,"December 9, 2014","DHS, Malaysia sign memorandum of cooperation enhancing customs information-sharing","|Cultural Property, Art and Antiquities Investigations","Assistant Secretary Bersin signed the Customs Mutual Assistance Agreement (CMAA) on behalf of U.S. Immigration and Customs Enforcement (ICE) and Customs and Border Protection (CBP), two DHS agencies responsible for enforcing U.S. customs laws.
"
2515,"December 4, 2014","Colombia, US law enforcement seize 270 kilograms of cocaine bound for US",|Narcotics,"Colombian authorities arrested a Colombian national linked to the DTO. Additional arrests are anticipated as the investigation is ongoing.
"
2516,"December 3, 2014",ICE removes Mexican man wanted for involvement in homicide,|Enforcement and Removal,Pablo Alvaro Silos allegedly participated in the murder of a victim who died as a result of gunshot wounds.
2517,"November 30, 2014",ICE-led probe leads to arrest of 2 UK men allegedly linked to pre-release leak of The Expendables 3,|Intellectual Property Rights and Commercial Fraud,"The suspects, a 36-year-old man from Upton, and a 33-year-old man from Dewsbury, were taken into custody Nov. 25 by detectives with the City of London Police Department’s Police Intellectual Property Crime Unit (PIPCU)."
2518,"November 27, 2014",ICE removes MS-13 gang member wanted for involvement in 3 murders,|Enforcement and Removal,"Margarita del Carmen Orellana-Rivas assisted MS-13 gang members with the murders of Patricia Beatriz Avalos-Caceres, Orlando Moran-Alvarado and Luis Osmaro Menjivar-Landaverde.
"
2519,"November 25, 2014",ICE removes Colombian fugitive convicted of murder,|Enforcement and Removal,"Pedro Nel Moreno-Romero, 51, was convicted of aggravated murder in 2013 in Colombia and sentenced to 35 years imprisonment. Moreno-Romero allegedly murdered a friend, then dismembered the body with a machete and later discarded the remains in a plastic bag."
2520,"November 17, 2014","ICE, Seoul Metropolitan Police Agency arrest 19 alleged predators",|Child Exploitation,"Those arrested include 12 Koreans, three Sri Lankans, two Vietnamese citizens, one Indonesian and one Thai national. The arrests were made in Seoul, Busan and Ulsan."
2521,"November 17, 2014","Pre-Columbian artifacts returned to Colombia following HSI, CBP case","|Cultural Property, Art and Antiquities Investigations","The pre-Columbian artifacts include three bowls and three goblets that are from the area near the Colombia-Ecuador border and are from between 800-1500AD. CBP officers in Miami seized the artifacts after they were identified during a routine air cargo inspection. The artifacts were later turned over to the HSI Bogota Attaché for repatriation.
"
2522,"November 16, 2014",3 defendants tied to Las Vegas-based synthetic drug ring sentenced ,|Narcotics,"Joshua Michael Riley, 32, of Henderson, received a 51-month prison term followed by three years’ supervised release; Nicholas Collado, 32, of Houston, Texas, was sentenced to 37 months in prison and three years’ supervised release; and Alexandra Haardt, 28, also of Henderson, was sentenced to three years’ probation with a condition of one year of home confinement. The sentences were imposed by U.S. District Court Judge Jennifer A. Dorsey."
2523,"November 16, 2014",HSI Islamabad partners with Pakistan Customs to prevent illegal use of dangerous chemicals ,|Contraband,"HSI’s leadership in partnering with the Pakistan Customs Service helped in the launch of the End Use Verification project that will help monitor the import and export of chemicals that are used both legally and illegally.
"
2524,"November 12, 2014",SEVP releases quarterly report on international students studying in US,|Student and Exchange Visitor Program,"Based on data extracted from SEVIS Oct. 7, 1.11 million international students, using an F (academic) or M (vocational) visa, were enrolled at nearly 9,000 U.S. schools. This marked a nine percent increase when compared to October 2013 data."
2525,"November 12, 2014",ICE deports Austrian murder suspect captured in Oregon,|Enforcement and Removal,"Stefan Eduard Wiebogen, of Strasshof, Austria, was arrested Oct. 16 by ICE’s Homeland Security Investigations (HSI) special agents near a Portland hostel. He was located after a team of investigators from HSI, the U.S. Marshals Service and the Portland Police Bureau canvased Portland-area hotels, hostels and casinos."
2526,"November 3, 2014",First Latin American country to join Virtual Global Taskforce,|Child Exploitation,"Colombia is the latest country to join the Virtual Global Taskforce, an international alliance of law enforcement and private sector agencies dedicated to combating online child sexual exploitation and other forms of transnational child sexual exploitation. An official signing-in ceremony was held in Amsterdam, which was attended by the Colombian ambassador to the Netherlands His Excellency Eduardo Pizarro Leon Gomez and General William Rene Salamanca, Director of Special Service, Colombian National Police."
2527,"November 3, 2014",Dutch receive $3 million from HSI Operation Pac Rim investigation,|Financial Crimes,"Operation Pac Rim, a three-year investigation, began in September 2009. HSI, in collaboration with international partners, seized the equivalent of more than $170 million dollars in U.S. currency and more than $800 million dollars in property worldwide."
2528,"October 30, 2014",ICE arrests 62 criminal aliens and immigration violators during 3-day central and south Texas enforcement operation,|Enforcement and Removal,"Of the 62 individuals arrested, 54 had previous criminal convictions including:  aggravated assault, drug possession, burglary, alien smuggling and drunken driving.
"
2529,"October 29, 2014",HSI signs Letter of Intent to help combat child porn in Korea ,|Child Exploitation,"The LOI, aimed to combat child pornography, was signed between Attaché Cho and SMPA Director General Chul-Jun Kim. It formally recognizes the partnership between HSI Seoul and SMPA in investigating cybercrimes, reinforces the outstanding working relationship between HSI Seoul and the SMPA in combatting child pornography and brings the issue to the forefront within Korean society."
2530,"October 28, 2014",Columbus-area fugitive added to ICE's Operation Predator smartphone app to locate at-large child sex predators,|Child Exploitation,"Jeremiah Malfroid, 33, was charged by criminal complaint Oct. 20 for production, receipt, distribution and possession of child pornography. Following a search of Malfroid's former Columbus-area residence in connection with the probe, officers with the Franklin County ICAC found nearly 700 sexually explicit videos of minors on his laptop computer and other digital media."
2531,"October 22, 2014",Federal agencies warn against counterfeit decorative contact lenses,|Intellectual Property Rights and Commercial Fraud,"Officials are warning consumers not to buy contact lenses from such places as Halloween or novelty shops, salons, beauty supply stores, or online if the site doesn’t require a prescription. Although many places illegally sell decorative contact lenses to consumers without valid prescriptions for as little as $20, these vendors are not authorized distributors of contact lenses, which by law require a prescription."
2532,"October 21, 2014",5 Florida companies become newest ICE IMAGE partners,|Worksite Enforcement,"As part of this agreement, Santa Rosa County School District, Colorado Boxed Beef Company and its 3 subsidiaries: ATG Transportation LLC, PREFCO Distribution LLC and The Great Fish Company LLC, have pledged to maintain a secure and stable workforce and curtail the employment of unauthorized workers through outreach and education."
2533,"October 21, 2014",25 Peruvian cultural treasures returned to the government of Peru,"|Cultural Property, Art and Antiquities Investigations","Items returned included two Colonial-era Cusco paintings, a funerary vessel from 100-1532 A.D., a Chancay statue from 1200-1450 A.D., a Lambayeque-style vessel from 800-1300 A.D., and Incan artifacts looted from ancient Peruvian graves."
2534,"October 16, 2014",Austrian fugitive wanted for murdering mother captured in Portland,|Operational,"Stefan Eduard Wiebogen, of Strasshof, Austria, was taken into custody late Thursday night by HSI special agents near a Portland hostel. Weibogen is the subject of an Interpol Red Notice and is wanted on a criminal arrest warrant issued by the Regional Court of Korneuburg, Austria."
2535,"October 16, 2014",Veteran “HEROs” join ICE efforts to bring child predators to justice,|Child Exploitation,"ICE Deputy Director Daniel Ragsdale today joined U.S. Special Operations Command (SOCOM), Chief of Transition Initiatives, Lieutenant Colonel Kimberly Moros and National Association to Protect Children (PROTECT) Executive Director Grier Weeks at a swearing in ceremony for 13 veterans – many of whom were wounded in the line of duty – as part of the second graduating class of Human Exploitation Rescue Operative Corps, or HERO Corps."
2536,"October 15, 2014","HSI, Salvadoran authorities arrest 3 Central American human smugglers",|Human Smuggling/Trafficking,"Manuel and Juan Diaz-Perdomo and Henrry Lizama-Sanchez, all Salvadoran nationals, allegedly received $9,700 in U.S. currency in June 2014 to smuggle a mother and daughter to New York from El Salvador. Other individuals involved in the scheme also tried to extort additional money from the family upon their arrival in the United States.
"
2537,"October 13, 2014","ICE, Colombian authorities rescue 55 sex trafficking victims, all minors",|Human Smuggling/Trafficking,"Eleven Colombian citizens face charges for human trafficking of minors, pimping and pandering. Details regarding the remaining individual are not being disclosed pending the completion of the investigation."
2538,"October 8, 2014","ICE, SAT participate in first regional forum on combatting illicit trade",|Financial Crimes,"The forum and MOU will assist in developing a deeper understanding of the black and grey markets that criminal networks use to traffic goods into Mexico and throughout Latin America.
"
2539,"October 7, 2014",HSI TCIU officer earns degree through USAID-sponsored program,|Operational,"In 2012, the local officer, who is a part of the HSI Guatemala Transnational Criminal Investigative Unit (TCIU), requested the letter to assist in his entrance into a newly-formed U.S. Agency for International Development (USAID)-sponsored program that would earn him a bachelor’s degree in police science and a minor in community policing. On Sept. 16, two years after receiving his later of recommendation, Vazquez received his degree from the Universidad del Occidente in Guatemala."
2540,"October 6, 2014",ICE expands reach of smartphone app designed to locate child predators and rescue their victims,|Child Exploitation,"The first U.S. federal law enforcement app designed to seek the public's help with fugitive and unknown suspected child predators is now available for Android smartphones, and in Spanish for both Apple and Android versions."
2541,"October 1, 2014",L.A. Fashion District businesses ordered to report more cash transactions as part of massive money laundering investigation,|Financial Crimes,"The GTO, which will go into effect Oct. 9, was sought by the U.S. Attorney's Office for the Central District of California, which is working with HSI and the IRS Criminal Investigation division to fight money laundering schemes designed to allow international drug cartels in Central America and South America to reach drug proceeds generated in the U.S."
2542,"October 1, 2014","HSI, Honduran authorities arrest 2 fugitives wanted on homicide charges",|Operational,"Victor Samuel Vargas Giron, 20, and Wilson Adalid Beltran, 24, allegedly raped and killed Escolasticos Bustillo Landero. According to local police, the homicide occurred in June outside of a local bar in Cifuentes. It's alleged that Vargas Giron and Adalid Beltran used a bicycle chain to choke Landero."
2543,"September 29, 2014",ICE holds training on combating child exploitation,|Child Exploitation,The training focused on methods of open source investigative techniques designed to assist in the identification and apprehension of child predators.
2544,"September 24, 2014",Central American human smuggler arrested,|Human Smuggling/Trafficking,"Caballero, also known as ""El Chino,"" allegedly charged smuggling fees, equivalent to $7,000 per adult and $4,000 per child in US currency, to illegally smuggle individuals into the United States."
2545,"September 23, 2014","ICE in New York arrests 3 fugitives ""Operation No Safe Haven""",|Human Rights Violators,These arrests were part of a first-of-its-kind nationwide operation last week targeting suspected human rights violators in multiple cities across the United States.
2546,"September 23, 2014",ICE arrests 19 fugitives across US during “Operation No Safe Haven”,|Human Rights Violators,"During the operation that concluded September 18, ICE's National Fugitive Operations Program (NFOP), in coordination with the ICE Human Rights Violators and War Crimes Center (HRVWCC), arrested these fugitives via the ICE field offices of Atlanta, Baltimore, Boston, Chicago, Detroit, Los Angeles, Miami, New Orleans, New York City and San Francisco."
2547,"September 22, 2014",HSI kicks off regional investigative training on cross-border crimes,|Operational,"The training, which is taking place in Uruguay and is being funded by the Department of State’s (DOS) Bureau of International Narcotics and Law Enforcement Affairs (INL), will focus on investigative techniques to identify cross-border crimes. These techniques have proven successful in combating the smuggling of bulk cash and other contraband.
"
2548,"September 9, 2014",Large-scale law enforcement effort targets downtown Los Angeles businesses linked to money laundering for drug cartels,|Financial Crimes,Authorities arrested nine defendants and seized what is estimated to be at least $65 million in cash and bank deposits stemming from asset forfeiture actions filed as part of the ongoing investigations.
2549,"August 19, 2014",Utah woman deported to El Salvador to face charges of killing Michigan man,|Enforcement and Removal,"Nuri Liseth Aquino-Torres (Brown), 28, was transported on board a charter flight coordinated by ERO’s Air Operations Unit and turned over to Salvadoran authorities Wednesday afternoon at the international airport outside San Salvador."
2550,"August 18, 2014","ICE, Honduras sign memorandum of cooperation",|Operational,"""Today's signing is a reflection of the great bilateral relationship we have with the government of Honduras,"" said PDAS Winkowski. ""Sharing criminal history information better equips both countries to protect its citizens.""
"
2551,"August 18, 2014",FEATURE: HSI hosts training session for Brazilian law enforcement partners,|Operational,"""This training helps reinforce the broader law enforcement efforts of HSI and its Brazilian partners to combat transnational human trafficking and financial-related crimes,"" said Bassett. ""By shutting down money laundering operations criminal and terrorist organizations use to move their funds, we can make significant dents in their ability to commit future crimes.""
